id,text,protected_terms,translate_embedded
1,"Tämä takki on NorthFace 1996 retro down jacket – super warm for winter commutes!","NorthFace 1996",true
2,"Kevyet juoksutrikoot, breathbale fabric ja sivutasku phoneille.",,true
3,"Väri: midnigt black, materiaali: polyster 90% / elastan 10%.",,false
4,"Palautusohje: fill the form at our site and lähetä se meille.",,true
5,"Huolto: pesu 30C, ei valkaisu. Dry gentle only.",,true
6,"Näissä hanskoissa on hyvä grippi ja lämpö – perfekt för cykling på hösten.",,true
7,"Koko: L-XL; yhteensopiva mallin <TERM>ABC-123</TERM> kanssa.","ABC-123",false
8,"Heijastimet parantavat näkyvyyttä, zip-pocket selässä on kätevä.",,false
9,"Kuvaus: tämä on erittäin kestävä ja kevy, sopii pitkille vaelluksile.",,false
10,"Materiaali: wool 50%, akryyli 50%. Tämä neule sopii office casual -tyyliin.",,true
